symbol,exchange,ticker,company_name,security_type,sector,currency,price,pricescale,market_cap,market_cap_trillions,daily_change_pct,daily_change_abs,perf_1m,perf_3m,perf_6m,perf_y,perf_ytd,volatility_d,price_52w_high,price_52w_low,avg_volume_30d,avg_volume_10d,volume,shares_outstanding,shares_outstanding_fund,employees,eps_ttm,revenue_per_employee,gross_profit_1y_growth,logoid,update_mode,market_direction
NASDAQ:ZURA,NASDAQ,ZURA,,common,Health Technology,USD,5.58,100,534726602.76357263,0.0005,-2.2767075306479843,-0.1299999999999999,-2.1052631578947385,55.43175487465182,-18.540145985401455,158.33333333333331,6.488549618320608,3.797468354430379,7.44,1.88,1337363.6666666667,1323842.8,301332,95829140,95829140,40,-1.2579,,,zura-bio-limited,delayed_streaming_900,sell
NYSE:BGY,NYSE,BGY,,closedend,Miscellaneous,USD,5.825,100,534625550,0.0005,-1.271186440677969,-0.07500000000000018,-0.9353741496598591,1.3043478260869596,2.7336860670194048,0.08591065292096037,-1.4382402707275797,1.3745704467353963,6.23,5.19,180404.1,182330,46783,90614500,90614500,,0.6305,,,blackrock,delayed_streaming_900,sell
NASDAQ:EPRX,NASDAQ,EPRX,,common,Health Technology,USD,8.104,100,534107348.73868346,0.0005,0.2970297029702863,0.023999999999999133,21.499250374812583,33.729372937293725,8.632707774798916,53.05004721435315,5.970656693778264,5.864646310043117,9.32,5.16,451403.3,622459.6,84813,65906600,65906600,49,-0.9589184000000001,,,eupraxia-pharmaceuticals,delayed_streaming_900,buy
OTC:PSTNY,OTC,PSTNY,,,Transportation,USD,0.8875,10000,532863551.5809899,0.0005,-9.898477157360409,-0.09750000000000003,-30.118110236220478,-30.118110236220478,-31.730769230769234,-15.476190476190482,-31.730769230769234,10.985915492957751,1.3,0.8,1792.9333333333334,1607.1,200,516580000.00000006,516580000.00000006,31531,-0.0348,,,postnl,delayed_streaming_900,sell
NASDAQ:TMS,NASDAQ,TMS,,common,Finance,USD,7.23,100,532565507.1274239,0.0005,0.13850415512466308,0.010000000000000675,-1.8995929443690593,-31.469194312796205,-30.009680542110353,-28.90855457227138,-29.805825242718445,14.413075780089148,13.1999,5.04,97662.56666666667,127067.2,95175,73660515,73660515,2,-0.2572,,,,delayed_streaming_900,buy
OTC:IOBCF,OTC,IOBCF,,common,Health Technology,USD,17.912,100,532005126.7146597,0.0005,-3.2176144806159734,-0.5955000000000013,-5.72631578947369,-3.1783783783783837,-1.609447953858826,28.44747221226245,10.910216718266257,3.3245868691380154,20.1,11.45,941.3666666666667,633.5,400,29158191,29158191,2302,0.9578457220000001,,,ion-beam-applications,delayed_streaming_900,sell
NYSE:HKD,NYSE,HKD,,,Technology Services,USD,1.705,100,531132112,0.0005,0.8875739644970487,0.015000000000000124,3.963414634146352,0.8875739644970488,-0.2923976608187072,-5.277777777777776,27.23880597014925,2.710843373493985,5.47,1.26,106886.2,103856.5,21907,197023250,197023250,166,,,,amtd-digital,delayed_streaming_900,buy
OTC:FDMIF,OTC,FDMIF,,common,Non-Energy Minerals,USD,4.57,100,530976297.99389315,0.0005,-4.393305439330543,-0.20999999999999996,15.98984771573605,51.82724252491697,38.40096910963054,51.82724252491697,41.04938271604938,4.595185995623631,5.05,2.278728,32759.233333333334,33175.1,9391,116187000,116187000,,-0.07730415,,,founders-metals,delayed_streaming_900,sell
NYSE:MMU,NYSE,MMU,,closedend,Miscellaneous,USD,9.6301,100,530894735.99999994,0.0005,-0.9248971193415646,-0.08990000000000009,-5.0285996055226825,-6.047804878048775,-8.197330791229739,-6.594568380213384,-7.845933014354054,1.0395010395010544,10.71,9.62,119702.2,125660.6,71762,54618800,54618800,,0.9506,,,franklin-templeton,delayed_streaming_900,sell
NASDAQ:BWFG,NASDAQ,BWFG,,common,Finance,USD,66.595,100,530893467.23399794,0.0005,-0.17238794783390032,-0.11499999999999488,-0.6785980611483942,20.207581227436823,40.22952200463255,51.35227272727273,44.86621709810746,1.8656150462611705,69.59,40.445,61423.566666666666,65761.4,26880,7971970,7971970,167,5.4176,,,bankwell-financial,delayed_streaming_900,sell
